x,y,theta,vy,theta_dot,input,cost,x,.state.y
-227.804,102.425,1.91487,0.293718,0.00480488,0.194286,368.114,-222.012,101.97
-230.125,108.328,2.41384,-0.0238863,1.64376,-0.194286,309.461,-227.804,102.425
-239.565,106.484,2.94259,0.0282775,1.09599,0.0485714,149.833,-230.125,108.328
-247.75,101.78,3.42308,0.00810756,1.0704,0,124.863,-239.565,106.484
-251.42,93.4751,4.04359,-0.0149223,1.25436,0,377.152,-247.75,101.78
-253.175,83.8552,4.25446,0.0476198,0.512466,0.0485714,251.41,-251.42,93.4751
-257.325,74.7855,4.21247,0.0440616,0.1321,0,283.96,-253.175,83.8552
-264.089,73.2826,3.25035,0.142149,-1.52406,0.0485714,130.986,-257.325,74.7855
-271.351,76.1342,3.27552,-0.0774111,0.193605,-0.145714,167.311,-264.089,73.2826
-280.809,73.8281,3.29386,-0.00137135,-0.146911,0.0485714,171.187,-271.351,76.1342
-290.835,73.4919,3.2107,0.00174531,-0.169389,0,72.5913,-280.809,73.8281
-300.797,74.4682,3.08903,0.00590677,-0.230932,0,83.7516,-290.835,73.4919
-308.638,71.2137,3.60092,-0.0814397,0.865496,-0.0485716,205.305,-300.797,74.4682
-315.9,67.0778,3.37852,0.0715693,-0.472128,0.0971429,121.577,-308.638,71.2137
-325.725,67.6866,3.22776,0.000869526,-0.139307,-0.0485716,160.816,-315.9,67.0778
-332.291,62.8054,3.83714,-0.0894167,1.03414,-0.0485716,171.037,-325.725,67.6866
-337.414,55.7466,3.7838,0.0584543,-0.176176,0.0971429,220.187,-332.291,62.8054
-344.589,49.5213,3.92347,-0.0212045,0.371635,-0.0485716,149.515,-337.414,55.7466
-347.153,40.2604,4.32511,-0.0333012,0.69275,0,173.367,-344.589,49.5213
-349.361,30.8456,4.3201,0.0388868,0.00597286,0.0485714,224.271,-347.153,40.2604
-355.906,23.6033,4.02246,0.0453899,-0.408994,0,444.655,-349.361,30.8456
-362.112,16.3223,4.11483,-0.0311958,0.219946,-0.0485716,391.38,-355.906,23.6033
-363.304,6.76669,4.49708,-0.0415386,0.609695,0,342.706,-362.112,16.3223
-363.879,-2.91549,4.50291,0.0311378,-0.00985835,0.0485714,121.779,-363.304,6.76669
-361.977,-11.4107,4.96034,-0.0569466,0.87226,-0.0485716,363.978,-363.879,-2.91549
-355.097,-18.4713,5.25307,0.00714009,0.483823,0.0485714,67.3921,-361.977,-11.4107
-353.428,-26.9223,4.80142,0.0909537,-0.688481,0.0485714,289.397,-355.097,-18.4713
-358.757,-35.0866,4.36244,0.0284687,-0.617684,-0.0485716,372.902,-353.428,-26.9223
-362.48,-43.868,4.45278,-0.0462482,0.139748,-0.0485716,151.294,-358.757,-35.0866
-359.913,-52.9648,4.90052,-0.0573317,0.670419,0,345.607,-362.48,-43.868
-360.324,-60.5372,4.36741,0.104117,-0.973434,0.0971429,65.5908,-359.913,-52.9648
-365.749,-67.5721,4.34565,-0.0426551,0.0949942,-0.097143,331.978,-360.324,-60.5372
-364.815,-77.1096,4.73697,-0.0521044,0.575862,0,388.814,-365.749,-67.5721
-362.462,-86.5986,4.80308,0.0195452,0.0608649,0.0485714,165.891,-364.815,-77.1096
-367.031,-92.5019,3.98548,0.115085,-1.35085,0.0485714,120.208,-362.462,-86.5986
-372.81,-96.9293,4.3294,-0.112759,0.697513,-0.145714,187.933,-367.031,-92.5019
-374.752,-105.399,4.24239,0.0387796,-0.347468,0.0971429,289.729,-372.81,-96.9293
-378.22,-114.128,4.42522,-0.0403288,0.367735,-0.0485716,316.018,-374.752,-105.399
-381.45,-123.003,4.26732,0.0380551,-0.325773,0.0485714,288.766,-378.22,-114.128
-384.471,-131.855,4.46961,-0.0416698,0.402655,-0.0485716,349.73,-381.45,-123.003
-389.017,-134.137,2.95765,0.21926,-2.66019,0.145714,34.1486,-384.471,-131.855
-386.891,-134.491,0.266637,0.22342,-4.45981,-0.0485716,156.603,-389.017,-134.137
-387.18,-140.1,6.07617,-0.17981,-0.90223,-0.291429,109.628,-386.891,-134.491
-384.682,-145.163,4.80276,0.0874021,-2.81439,0.145714,280.985,-387.18,-140.1
-388.03,-150.757,5.10962,-0.201804,0.336069,-0.194286,173.759,-384.682,-145.163
-385.041,-157.401,4.79137,0.0343244,-1.03796,0.145714,200.78,-388.03,-150.757
-388.782,-166.494,4.56823,-0.0298405,-0.449163,-0.0485716,242.214,-385.041,-157.401
-391.516,-176.129,4.51281,-0.0246906,-0.243199,0,200.45,-388.782,-166.494
-388.153,-183.038,5.25395,-0.116959,1.17762,-0.0485716,40.2847,-391.516,-176.129
-383.97,-188.821,4.81463,0.114421,-0.8933,0.145714,276.091,-388.153,-183.038
-382.478,-195.483,5.45389,-0.123685,1.27445,-0.145714,94.1637,-383.97,-188.821
