x,y,theta,vy,theta_dot,input,cost,x,.y
165.109,4.43921,4.30129,0.0771144,-0.558996,0.0971429,484.41,166.186,12.5976
195.717,32.1757,5.52245,0.168406,-0.913822,0.194286,71.9402,189.213,31.7958
19.2738,139.205,2.17477,0.147663,-1.62938,0.194286,401.733,25.3139,137.672
163.431,-3.19431,4.75227,-0.0835264,0.901345,-0.097143,470.63,165.109,4.43921
18.0032,139.792,1.14081,-0.687829,8.71761,-0.971429,650.044,19.2738,139.205
213.137,76.892,6.20054,-0.00436756,0.340073,0.0485714,213.7,203.331,75.8254
138.066,129.057,0.776155,0.254439,-3.88644,0.0971429,1.68946,137.176,125.773
14.746,137.012,5.92756,-0.1931,7.78068,0.437143,238.214,18.0032,139.792
13.127,131.286,1.9528,0.14686,4.6475,0.291429,671.992,14.746,137.012
8.8763,125.652,3.07479,0.159748,3.02956,0.0485714,575.561,13.127,131.286
166.824,24.6553,2.84925,0.256141,-2.84914,0.242857,60.1791,169.614,27.4539
164.613,-11.5578,4.56883,0.0683248,-0.405039,0.0971429,518.025,163.431,-3.19431
1.44723,122.153,3.06475,0.211616,0.865751,0.0485714,674.08,8.8763,125.652
166.171,-18.7913,5.18582,-0.0972595,1.18763,-0.097143,447.829,164.613,-11.5578
173.26,-24.3443,5.29088,0.0458374,0.0994082,0.0971429,446.618,166.171,-18.7913
16.8775,143.745,4.42024,-0.00169233,5.25354,0.582857,129.629,18.0032,139.792
166.446,-23.989,3.92819,0.225695,-2.24818,0.194286,526.913,166.171,-18.7913
226.422,237.126,0.602887,0.112449,-1.03874,0.145714,253.678,223.312,230.805
-6.22984,120.182,3.38203,0.0414409,1.24491,-0.097143,576.559,1.44723,122.153
160.197,-24.6845,4.18622,-0.140175,0.701388,-0.242857,313.829,166.446,-23.989
175.737,-33.7754,4.999,0.051396,-0.366362,0,416.145,173.26,-24.3443
-11.5127,112.366,3.85555,0.0201218,1.11602,0,116.424,-6.22984,120.182
178.17,-43.0674,5.07203,-0.0251381,0.209043,-0.0485716,405.876,175.737,-33.7754
-18.0911,105.858,3.70662,0.0917668,-0.0358354,0.0485714,282.287,-11.5127,112.366
158.836,-33.6514,4.31379,0.0066775,-0.0497616,0.0971429,343.451,160.197,-24.6845
-26.261,108.055,2.97235,0.108252,-1.02772,0,504.139,-18.0911,105.858
-10.1216,122.513,1.76281,0.297322,-2.4962,0.145714,3.44762,-6.22984,120.182
162.649,247.617,2.29427,0.123657,-0.984195,0.0971429,225.841,169.094,243.95
-33.893,112.821,2.88404,-0.036604,-0.0170108,-0.097143,384.689,-26.261,108.055
-40.7984,118.256,2.45183,0.0511618,-0.847394,0.0485714,207.204,-33.893,112.821
157.967,252.869,2.80459,-0.110916,1.06289,-0.145714,116.441,162.649,247.617
-31.2433,106.557,4.24634,-0.216426,2.32988,-0.194286,325.976,-26.261,108.055
120.421,128.692,5.33089,0.565753,-7.2527,1.02,35.8332,121.975,128.561
184.952,-50.0592,5.40036,-0.0341979,0.531155,0,229.25,178.17,-43.0674
154.001,-42.4384,4.23025,0.00895255,-0.133866,0,535.85,158.836,-33.6514
191.192,-57.2668,5.29921,0.0415122,-0.186769,0.0485714,114.325,184.952,-50.0592
151.472,255.344,2.24585,0.124001,-1.10054,0.145714,281.339,157.967,252.869
-29.9543,100.435,3.96855,0.149132,-0.698398,0.242857,52.0325,-31.2433,106.557
150.593,264.525,1.98934,-0.0165715,-0.27625,-0.097143,191.262,151.472,255.344
147.709,-50.1883,4.07539,0.0135343,-0.263613,0,381.561,154.001,-42.4384
191.688,-66.7345,4.85816,0.0528596,-0.678613,0,109.536,191.192,-57.2668
-46.5805,119.255,3.60845,-0.198343,2.00522,-0.145714,219.16,-40.7984,118.256
199.608,31.2201,0.775868,-0.23436,2.94951,-0.242857,24.5727,195.717,32.1757
-50.7331,115.09,2.9886,0.176824,-1.28907,0.242857,256.232,-46.5805,119.255
-47.9928,119.042,5.00326,0.665395,-8.21288,0.922857,46.5939,-46.5805,119.255
200.484,32.3139,3.21474,0.573028,-6.3092,1.02,188.405,199.608,31.2201
202.653,30.8048,1.73174,-0.102778,-2.07958,-0.534286,208.95,200.484,32.3139
-55.4034,114.496,4.22228,-0.216738,2.39838,-0.242857,636.345,-50.7331,115.09
-49.8014,121.898,0.103488,0.235174,-7.94467,-0.388572,244.943,-47.9928,119.042
232.004,241.254,1.16511,-0.122753,1.1143,-0.145714,201.267,226.422,237.126
234.829,243.257,5.68775,0.282744,-3.18366,0.242857,18.8984,232.004,241.254
-56.3824,109.929,3.35952,0.229455,-1.68958,0.291429,655.071,-55.4034,114.496
139.463,-55.5656,3.80217,0.0218576,-0.475253,0,145.459,147.709,-50.1883
194.678,-73.6154,5.42066,-0.109156,1.01097,-0.097143,335.776,191.688,-66.7345
198.765,-79.143,4.8154,0.127203,-1.18395,0.145714,415.393,194.678,-73.6154
-50.2416,127.197,4.28555,-0.177247,-4.21188,-0.34,241.505,-49.8014,121.898
200.741,-84.5464,5.84503,-0.191071,1.93531,-0.194286,157.239,198.765,-79.143
130.023,-55.9953,3.32932,0.0364292,-0.829576,0,84.1355,139.463,-55.5656
220.907,73.0985,5.74635,0.0807585,-0.745307,0.0485714,167.188,213.137,76.892
123.366,-59.2066,3.92284,-0.124941,0.997845,-0.097143,476.313,130.023,-55.9953
201.725,-85.5537,0.876979,0.672584,-8.34613,0.922857,440.728,200.741,-84.5464
-60.3069,108.74,4.5663,-0.229339,2.42359,-0.291429,499.506,-56.3824,109.929
236.153,240.489,0.451042,-0.288769,2.03178,-0.388572,184.456,234.829,243.257
147.425,274.049,1.94144,-0.0130999,-0.168654,0,195.381,150.593,264.525
203.361,-89.9808,2.70772,0.169617,-7.18416,-0.437143,342.662,201.725,-85.5537
120.749,-67.9869,4.12126,0.0177872,0.157965,0.0971429,193.585,123.366,-59.2066
206.723,-92.8477,1.57481,-0.266538,-2.60883,-0.34,263.972,203.361,-89.9808
114.998,-76.2118,4.08422,0.0172212,0.00742462,0,460.647,120.749,-67.9869
239.481,244.718,6.18899,0.154473,-1.38413,0.291429,224.107,236.153,240.489
-59.6974,110.919,0.904469,-0.229833,4.27143,0.0485714,454.978,-60.3069,108.74
-59.2484,103.957,3.81522,0.214518,-1.52685,0.291429,289.72,-60.3069,108.74
-57.8818,129.199,3.67692,-0.205206,-2.15888,-0.0485716,153.848,-50.2416,127.197
144.094,283.525,1.93532,-0.0114898,-0.0710195,0,65.9887,147.425,274.049
211.816,-86.6437,1.27074,-0.158924,-1.6317,0.0485714,269.93,206.723,-92.8477
107.995,-83.343,3.95546,0.0199921,-0.175136,0,532.473,114.998,-76.2118
-65.6332,131.486,3.18468,-0.0973973,-1.72474,0.0485714,345.134,-57.8818,129.199
163.951,27.2628,3.73293,-0.25293,1.7513,-0.34,70.6418,166.824,24.6553
-73.346,136.994,2.83861,-0.0746878,-1.11793,0,243.047,-65.6332,131.486
245.744,243.767,0.602529,-0.155119,1.39809,-0.194286,223.527,239.481,244.718
-81.3054,142.779,2.7039,-0.0619414,-0.600831,0,408.333,-73.346,136.994
227.073,72.3272,0.459287,-0.166154,1.81721,-0.145714,120.462,220.907,73.0985
-90.3609,146.786,2.8005,-0.0588128,-0.0894353,0,411.8,-81.3054,142.779
249.985,245.013,5.55098,0.239453,-2.49281,0.242857,192.188,245.744,243.767
104.809,-91.4775,4.39381,-0.0662288,0.784604,-0.0485716,153.808,107.995,-83.343
211.164,-92.5449,6.16834,0.0243054,-4.01636,0.145714,350.474,206.723,-92.8477
-63.9658,100.828,4.61111,-0.168278,1.70806,-0.242857,143.226,-59.2484,103.957
140.143,292.755,1.97905,-0.0118317,0.03407,0,43.448,144.094,283.525
213.447,-98.3531,6.20202,-0.248839,-0.485068,-0.194286,386.256,211.164,-92.5449
101.545,-98.7132,4.00222,0.0911549,-0.735703,0.0971429,162.876,104.809,-91.4775
-99.8249,145.806,3.19933,-0.0668142,0.517825,0,386.961,-90.3609,146.786
231.731,74.5956,5.75504,0.21789,-1.86002,0.242857,107.476,227.073,72.3272
99.3424,-104.681,4.92101,-0.154265,1.71847,-0.145714,344.763,101.545,-98.7132
235.588,70.0075,0.0362241,-0.157361,1.26197,-0.242857,229.289,231.731,74.5956
-109.052,142.388,3.3424,0.00365449,0.145636,0.0485714,91.509,-99.8249,145.806
-118.648,139.441,3.40704,0.000956711,0.143339,0,240.711,-109.052,142.388
248.435,246.292,2.81028,0.24324,-4.46636,-0.0485716,227.976,249.985,245.013
99.7098,-109.508,3.7838,0.233676,-2.10702,0.242857,630.439,99.3424,-104.681
219.898,-100.518,5.72598,-0.00221107,-1.55979,0.145714,307.142,213.447,-98.3531
133.235,295.641,2.79745,-0.108219,1.38717,-0.0485716,83.5039,140.143,292.755
124.534,292.48,3.11432,0.0285427,0.465842,0.0971429,44.1211,133.235,295.641
-127.946,135.676,3.49114,-0.00214927,0.169354,0,154.481,-118.648,139.441
251.984,242.282,0.500607,-0.278838,2.35677,-0.34,138.304,249.985,245.013
193.97,-51.0783,6.00457,-0.0521514,1.03178,0,25.5857,184.952,-50.0592
-136.632,130.704,3.61592,-0.00637891,0.235215,0,326.838,-127.946,135.676
231.401,247.009,3.57514,0.123077,-3.37043,-0.145714,43.823,234.829,243.257
114.609,291.165,3.19046,0.0227908,0.277996,0,170.874,124.534,292.48
241.85,70.1748,5.56781,0.154423,-1.51889,0.194286,155.912,235.588,70.0075
95.5434,-111.563,4.69876,-0.216003,1.86874,-0.291429,450.299,99.7098,-109.508
-143.965,123.991,3.81554,-0.0128329,0.363037,0,120.552,-136.632,130.704
-148.289,115.249,4.14679,-0.0233041,0.592317,0,315.802,-143.965,123.991
128.46,298.702,1.75004,0.20866,-1.88463,0.194286,167.422,133.235,295.641
-154.21,111.927,3.30069,0.145614,-1.43453,0.0971429,143.693,-148.289,115.249
200.735,-95.6492,0.300428,-0.100641,-4.78999,-0.242857,1.05978,203.361,-89.9808
-160.442,111.162,4.03057,-0.164292,1.42951,-0.194286,591.112,-154.21,111.927
254.364,247.253,0.0850545,0.15922,-1.0905,0.291429,139.299,251.984,242.282
97.447,-117.234,4.1286,0.159351,-1.27111,0.242857,434.162,95.5434,-111.563
108.017,295.35,2.48623,0.113945,-1.11372,0.0485714,222.056,114.609,291.165
93.917,-122.456,4.85594,-0.151918,1.48647,-0.194286,351.855,97.447,-117.234
